,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SEG - REPORTE GENERAL DE SOLICITUDES - GENERADO EN:20/02/2020 - 12:09:43,,,,,,,,,,,,,,,
SOLICITUD,SOLICITUD SC,NIS,TIPO DE SERVICIO,MOVIMIENTO,PRON‡STICO,ETAPA,FECHA DE SOLICITUD,FECHA CONVENIDA,FECHA DE ENTREGA,PROBLEMA PARA SU ATENCION,COMENTARIOS,PARO DE RELOJ,MOTIVO PARO DE RELOJ,INICIO PARO DE RELOJ FECHA/HORA,FIN PARO DE RELOJ FECHA/HORA
,,,,,,,,,,,,,,,
12516940,,1910200239669,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 20:15,,,,Elizabeth - 2020-02-19 20:15:59 - ACATLAN - HUAUCHINANGO ENTRADA A LA IZQUIERDA NAVES DE ARCOTECHO OK XD ,,,,
12516865,,1910200239628,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 19:41,,,,Elizabeth - 2020-02-19 19:41:58 - SE ENCUENTRA ESCUELA EN LA MISMA CALLE ,,,,
12516850,,1910200239618,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 19:33,,,,"Elizabeth - 2020-02-19 19:38:01 - A DOS CUADRAS DEL MERCADO DEL MERCADO LAS CRUCITAS , CASI ESQUINA CON MARGARITA DE JUAREZ OK XD ",,,,
12516811,,1910200239590,Reventa Datos,Lineas Nuevas,,CREADA/EN PROCESO,19/02/2020 19:16,,19/02/2020 19:21,,Elizabeth - 2020-02-19 19:16:59 - Casa de un nivel color gris zagu†n cafÇ OK XD ,,,,
12516806,,1910200239588,Reventa Datos,Lineas Nuevas,,CREADA/EN PROCESO,19/02/2020 19:14,25/02/2020,,,,,,,
12516758,,1910200239546,Reventa Datos,Lineas Nuevas,,CREADA/EN PROCESO,19/02/2020 19:07,,19/02/2020 19:11,,Elizabeth - 2020-02-19 19:08:29 - Casa de un nivel zagu†n color gris de reja OK XD ,,,,
12516742,,1910200239538,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 19:00,,,,Elizabeth - 2020-02-19 19:01:11 - CASA DE UN PISO COLOR BLANCO PORTON NEGRO OK XD ,,,,
12516597,,1910200239470,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 18:33,,,,,,,,
12516478,,1910200239437,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 18:08,,,,Elizabeth - 2020-02-19 18:16:17 - SIN ,,,,
12516430,,1910200239417,Reventa Datos,Lineas Nuevas,,CREADA/EN PROCESO,19/02/2020 17:59,,19/02/2020 18:04,,Elizabeth - 2020-02-19 18:00:59 - A LADO DE LA LIGA DE ARBITROS OK XD ,,,,
12516415,,1910200239413,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 17:56,,,,Elizabeth - 2020-02-19 17:58:13 - SIN ,,,,
12516345,,1910200239404,Reventa Datos,Lineas Nuevas,,CREADA/EN PROCESO,19/02/2020 17:51,,19/02/2020 17:57,,Elizabeth - 2020-02-19 17:52:58 - FRENTE A CIBERCAFE Y UNA TIENDA DE ABARROTES OK XD ,,,,
12516265,,1910200239370,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 17:32,,,,"Elizabeth - 2020-02-19 17:35:55 - A 10 MTS DE UN KINDER, CASA DE UN PISO COLOR VERDE LIMON ",,,,
12516241,,1910200239366,Reventa Datos,Lineas Nuevas,,CREADA/EN PROCESO,19/02/2020 17:25,,19/02/2020 17:33,,Elizabeth - 2020-02-19 17:26:30 - A un costado de la casa de cultura OK XD ,,,,
12516236,,1910200239356,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 17:22,,19/02/2020 17:51,,Victor - 2020-02-19 17:26:09 - SUSPENSION ,,,,
12516217,,1910200239348,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 17:18,,19/02/2020 17:27,,Victor - 2020-02-19 17:21:31 - SUSPENSION ,,,,
12516185,,1910200239322,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 17:06,,19/02/2020 17:11,,Victor - 2020-02-19 17:09:33 - SUSPENSION ,,,,
12516175,,1910200239309,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 17:03,,19/02/2020 17:11,,Victor - 2020-02-19 17:06:02 - SUSPENSION ,,,,
12516107,,1910200239291,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:53,,19/02/2020 17:04,,Victor - 2020-02-19 17:02:10 - SUSPENSION ,,,,
